,country,clusters,total
992,Ukraine,8,0.0
993,Ukraine,9,0.0
994,Ukraine,10,0.0
995,Ukraine,11,0.0
996,Ukraine,12,0.0
997,Ukraine,13,0.0
998,Ukraine,14,0.0
999,Ukraine,15,0.0
1000,Ukraine,16,0.0
1001,Ukraine,17,0.0
1002,Ukraine,18,0.0
1003,Ukraine,19,0.0
1004,Ukraine,20,0.0
1005,Ukraine,21,0.0
1006,Ukraine,22,0.0
1007,Ukraine,23,0.0
1008,Uruguay,0,0.0
1009,Uruguay,1,0.0
1010,Uruguay,2,0.0
1011,Uruguay,3,0.0
1012,Uruguay,4,0.0
1013,Uruguay,5,0.0
1014,Uruguay,6,0.0
1015,Uruguay,7,0.0
1016,Uruguay,8,0.0
1017,Uruguay,9,0.0
1018,Uruguay,10,0.0
1019,Uruguay,11,0.0
1020,Uruguay,12,0.0
1021,Uruguay,13,0.0
1022,Uruguay,14,0.0
1023,Uruguay,15,0.0
1024,Uruguay,16,0.0
1025,Uruguay,17,0.0
1026,Uruguay,18,0.0
1027,Uruguay,19,0.0
1028,Uruguay,20,0.0
1029,Uruguay,21,0.01
1030,Uruguay,22,0.0
1031,Uruguay,23,0.0
