,country,variety,harvest,rating_cat,price,points,wineries,reviews
185,Argentina,Chardonnay,2011,2,27.666666666666668,88.0,3,3
186,Argentina,Chardonnay,2012,0,18.6,81.8,5,5
187,Argentina,Chardonnay,2012,1,12.55,84.0909090909091,15,22
188,Argentina,Chardonnay,2012,2,58.8,88.0,4,5
189,Argentina,Chardonnay,2012,3,50.0,90.0,1,1
190,Argentina,Chardonnay,2013,0,14.5,81.25,4,4
191,Argentina,Chardonnay,2013,1,16.5,84.41666666666667,22,24
192,Argentina,Chardonnay,2013,2,27.833333333333332,87.5,5,6
193,Argentina,Chardonnay,2013,3,35.0,90.0,1,1
194,Argentina,Chardonnay,2014,0,13.0,81.75,4,4
195,Argentina,Chardonnay,2014,1,14.0,84.33333333333333,11,12
196,Argentina,Chardonnay,2014,2,21.4,87.6,5,5
197,Argentina,Chardonnay,2015,0,12.5,80.5,2,2
198,Argentina,Chardonnay,2015,1,17.22222222222222,85.11111111111111,8,9
199,Argentina,Chardonnay,2015,2,20.25,87.6470588235294,13,17
200,Argentina,Chardonnay,2015,3,33.5,90.0,1,4
201,Argentina,Chardonnay-Sauvignon,2009,1,14.0,84.0,1,1
202,Argentina,Chardonnay-Sauvignon,2010,1,11.0,85.0,1,1
203,Argentina,Chardonnay-Semillon,2006,0,13.0,81.0,1,1
204,Argentina,Chardonnay-Viognier,2008,1,16.0,84.5,2,2
205,Argentina,Chardonnay-Viognier,2008,2,19.0,88.0,1,1
206,Argentina,Chardonnay-Viognier,2010,1,17.0,85.0,2,2
207,Argentina,Chardonnay-Viognier,2011,1,15.0,84.0,1,1
208,Argentina,Chenin Blanc-Chardonnay,2011,1,9.0,85.0,1,1
209,Argentina,Chenin Blanc-Chardonnay,2014,1,11.0,86.0,1,2
210,Argentina,Chenin Blanc-Chardonnay,2015,2,12.0,87.0,1,1
211,Argentina,Malbec,2004,1,20.4,84.0,5,5
212,Argentina,Malbec,2004,2,43.75,87.25,4,4
213,Argentina,Malbec,2004,3,70.57142857142857,91.14285714285714,6,7
214,Argentina,Malbec,2005,0,22.0,80.75,4,4
215,Argentina,Malbec,2005,1,16.157894736842106,84.47368421052632,17,19
216,Argentina,Malbec,2005,2,18.571428571428573,88.42857142857143,7,7
217,Argentina,Malbec,2005,3,34.0,90.5,4,4
218,Argentina,Malbec,2006,0,9.666666666666666,81.0,3,3
219,Argentina,Malbec,2006,1,15.0,84.6875,31,32
220,Argentina,Malbec,2006,2,25.956521739130434,87.91304347826087,21,23
221,Argentina,Malbec,2006,3,40.28,91.08,22,25
222,Argentina,Malbec,2006,4,72.5,94.75,3,4
223,Argentina,Malbec,2007,0,12.0,80.5,8,8
224,Argentina,Malbec,2007,1,16.891304347826086,84.3913043478261,37,46
225,Argentina,Malbec,2007,2,29.153846153846153,88.3076923076923,25,26
226,Argentina,Malbec,2007,3,53.53846153846154,91.23076923076923,22,26
227,Argentina,Malbec,2007,4,100.0,94.0,1,1
228,Argentina,Malbec,2008,0,12.0,81.0,2,2
229,Argentina,Malbec,2008,1,17.295454545454547,84.36363636363636,40,44
230,Argentina,Malbec,2008,2,28.864864864864863,87.83783783783784,31,37
231,Argentina,Malbec,2008,3,66.52173913043478,90.69565217391305,16,23
232,Argentina,Malbec,2008,4,83.75,94.0,4,4
233,Argentina,Malbec,2009,0,19.0,81.77777777777777,9,9
234,Argentina,Malbec,2009,1,15.191489361702128,84.79166666666667,42,48
235,Argentina,Malbec,2009,2,20.387755102040817,88.06122448979592,41,49
236,Argentina,Malbec,2009,3,49.31818181818182,91.43478260869566,20,23
237,Argentina,Malbec,2009,4,66.66666666666667,94.66666666666667,2,3
238,Argentina,Malbec,2010,0,13.0,81.61538461538461,12,13
239,Argentina,Malbec,2010,1,15.107692307692307,84.8923076923077,55,65
240,Argentina,Malbec,2010,2,20.555555555555557,87.79629629629629,49,54
241,Argentina,Malbec,2010,3,50.07843137254902,91.13725490196079,36,51
242,Argentina,Malbec,2010,4,95.66666666666667,94.33333333333333,4,6
243,Argentina,Malbec,2011,0,15.058823529411764,81.11764705882354,17,17
244,Argentina,Malbec,2011,1,15.311475409836065,84.81967213114754,52,61
245,Argentina,Malbec,2011,2,22.027397260273972,87.81333333333333,59,75
246,Argentina,Malbec,2011,3,47.15384615384615,91.15384615384616,40,52
247,Argentina,Malbec,2011,4,80.0,94.0,3,3
248,Argentina,Malbec,2012,0,12.25,81.5,4,4
249,Argentina,Malbec,2012,1,17.08695652173913,84.65957446808511,39,47
250,Argentina,Malbec,2012,2,21.833333333333332,87.98507462686567,52,67
251,Argentina,Malbec,2012,3,48.848101265822784,91.0886075949367,48,79
252,Argentina,Malbec,2012,4,71.9,94.1,5,10
253,Argentina,Malbec,2013,0,14.0,81.25,4,4
254,Argentina,Malbec,2013,1,15.66,84.54,42,50
255,Argentina,Malbec,2013,2,24.854545454545455,87.875,43,56
256,Argentina,Malbec,2013,3,45.411764705882355,91.35714285714286,46,70
257,Argentina,Malbec,2013,4,78.66666666666667,94.66666666666667,2,3
258,Argentina,Malbec,2014,0,10.285714285714286,80.85714285714286,7,7
259,Argentina,Malbec,2014,1,13.625,85.04878048780488,38,41
260,Argentina,Malbec,2014,2,20.317460317460316,88.078125,47,64
261,Argentina,Malbec,2014,3,40.15384615384615,90.84615384615384,21,26
262,Argentina,Malbec,2014,4,140.0,94.0,1,2
263,Argentina,Malbec,2015,0,15.0,81.66666666666667,3,3
264,Argentina,Malbec,2015,1,14.258064516129032,85.03225806451613,25,31
265,Argentina,Malbec,2015,2,17.53846153846154,88.0,21,26
266,Argentina,Malbec,2015,3,26.4,91.0,5,5
267,Argentina,Malbec,2015,4,60.0,94.0,1,1
268,Argentina,Malbec Blend,2013,2,95.0,89.0,1,1
269,Argentina,Malbec Blend,2014,3,38.0,92.0,1,1
270,Argentina,Malbec-Bonarda,2009,1,5.0,84.0,1,1
271,Argentina,Malbec-Bonarda,2011,3,33.0,90.0,1,1
272,Argentina,Malbec-Bonarda,2014,1,20.0,86.0,1,1
273,Argentina,Malbec-Bonarda,2015,3,23.0,90.0,1,1
274,Argentina,Malbec-Cabernet,2011,3,165.0,93.0,1,1
275,Argentina,Malbec-Cabernet,2013,2,45.0,89.0,1,1
276,Argentina,Malbec-Cabernet,2013,3,130.0,93.0,1,1
277,Argentina,Malbec-Cabernet Franc,2008,3,50.0,92.0,1,1
278,Argentina,Malbec-Cabernet Franc,2009,2,17.0,87.0,1,1
279,Argentina,Malbec-Cabernet Franc,2009,3,75.0,91.0,1,1
280,Argentina,Malbec-Cabernet Franc,2011,1,20.0,85.0,2,2
281,Argentina,Malbec-Cabernet Franc,2011,2,20.0,87.0,1,1
282,Argentina,Malbec-Cabernet Franc,2012,3,70.0,91.5,2,2
283,Argentina,Malbec-Cabernet Franc,2013,3,33.0,90.0,1,1
284,Argentina,Malbec-Cabernet Franc,2014,2,13.0,87.0,1,1
285,Argentina,Malbec-Cabernet Sauvignon,2005,1,43.0,86.0,3,3
286,Argentina,Malbec-Cabernet Sauvignon,2005,2,24.0,87.0,1,1
287,Argentina,Malbec-Cabernet Sauvignon,2006,3,68.0,91.0,2,2
288,Argentina,Malbec-Cabernet Sauvignon,2007,0,12.0,80.0,1,1
