,country,province,region_1,variety,price
201,Argentina,Other,Cafayate,Bordeaux-style Red Blend,1
202,Argentina,Other,Cafayate,Cabernet Sauvignon,10
203,Argentina,Other,Cafayate,Chardonnay,1
204,Argentina,Other,Cafayate,Malbec,24
205,Argentina,Other,Cafayate,Malbec-Cabernet Sauvignon,2
206,Argentina,Other,Cafayate,Malbec-Merlot,1
207,Argentina,Other,Cafayate,Malbec-Tannat,1
208,Argentina,Other,Cafayate,Pinot Noir,1
209,Argentina,Other,Cafayate,Red Blend,4
210,Argentina,Other,Cafayate,Sauvignon Blanc,2
211,Argentina,Other,Cafayate,Syrah,1
212,Argentina,Other,Cafayate,Tannat,3
213,Argentina,Other,Cafayate,Torrontés,42
214,Argentina,Other,Calchaquí Valley,Cabernet Sauvignon,7
215,Argentina,Other,Calchaquí Valley,Chardonnay,5
216,Argentina,Other,Calchaquí Valley,Malbec,14
217,Argentina,Other,Calchaquí Valley,Malbec-Merlot,1
218,Argentina,Other,Calchaquí Valley,Pinot Noir,1
219,Argentina,Other,Calchaquí Valley,Red Blend,6
220,Argentina,Other,Calchaquí Valley,Rosé,2
221,Argentina,Other,Calchaquí Valley,Syrah,2
222,Argentina,Other,Calchaquí Valley,Tannat,1
223,Argentina,Other,Calchaquí Valley,Torrontés,7
224,Argentina,Other,Calchaquí Valley,White Blend,2
225,Argentina,Other,Catamarca,Cabernet Sauvignon,1
226,Argentina,Other,Famatina Valley,Bonarda,2
227,Argentina,Other,Famatina Valley,Cabernet Sauvignon,4
228,Argentina,Other,Famatina Valley,Malbec,2
229,Argentina,Other,Famatina Valley,Red Blend,1
230,Argentina,Other,Famatina Valley,Torrontés,1
231,Argentina,Other,Jujuy,Red Blend,1
232,Argentina,Other,La Rioja,Cabernet Sauvignon,1
233,Argentina,Other,La Rioja,Malbec,1
234,Argentina,Other,La Rioja,Torrontés,9
235,Argentina,Other,Neuquén,Cabernet Sauvignon,5
236,Argentina,Other,Neuquén,Chardonnay,2
237,Argentina,Other,Neuquén,Malbec,11
238,Argentina,Other,Neuquén,Merlot,4
239,Argentina,Other,Neuquén,Pinot Noir,9
240,Argentina,Other,Neuquén,Red Blend,2
241,Argentina,Other,Neuquén,Sauvignon Blanc,3
242,Argentina,Other,Neuquén,Torrontés,1
243,Argentina,Other,Patagonia,Bordeaux-style Red Blend,1
244,Argentina,Other,Patagonia,Cabernet Franc,2
